STRUCTURE_NAME,Time frequency,Currency,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,Country Code,housing_col,housing_cost_EUR,salary_minus_housing_EUR,ppp_factor,salary_minus_housing
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,AT,Austria,2018,31640.93,AUT,CH2018,875.0546071105599,21140.27471467328,0.765403,27619.795995930617
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,AT,Austria,2019,32325.12,AUT,CH2019,927.5578835371934,21194.425397553678,0.738332,28705.819871756445
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,AT,Austria,2020,33032.37,AUT,CH2020,998.0522826860201,21055.74260776776,0.728799,28891.01467999786
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,AT,Austria,2021,33712.2,AUT,CH2021,1111.8302429122266,20370.23708505328,0.72035,28278.249580139207
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,AT,Austria,2022,36075.61,AUT,CH2022,1240.802551090045,21185.979386919462,0.700477,30245.07498021985
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,AT,Austria,2023,38375.91,AUT,CH2023,1204.8192771084337,23918.0786746988,0.735286,32528.946117155505
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,AT,Austria,2024,41747.41,AUT,CH2024,1200.0,27347.410000000003,0.733163,37300.586636259606
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BE,Belgium,2018,29240.96,BEL,CH2018,855.7706947101107,18971.711663478673,0.766407,24754.09496974672
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BE,Belgium,2019,30188.71,BEL,CH2019,887.4342104143849,19539.49947502738,0.735832,26554.29428867918
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BE,Belgium,2020,30539.81,BEL,CH2020,925.5938814622033,19432.683422453563,0.716165,27134.3662737687
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BE,Belgium,2021,31063.95,BEL,CH2021,987.6086715201707,19212.645941757954,0.719916,26687.343998130273
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BE,Belgium,2022,32889.21,BEL,CH2022,1041.92714845378,20386.08421855464,0.708092,28790.163168846193
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BE,Belgium,2023,35438.98,BEL,CH2023,1065.891472868217,22648.2823255814,0.732409,30922.99838694145
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BE,Belgium,2024,36672.38,BEL,CH2024,1100.0,23472.379999999997,0.716744,32748.62433449041
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BG,Bulgaria,2018,5447.1,BGR,CH2018,313.20574228048264,1688.6310926342085,0.34774214023789396,4855.9863681721135
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BG,Bulgaria,2019,6093.02,BGR,CH2019,331.99808681731156,2109.0429581922617,0.3455459831841579,6103.508826112594
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BG,Bulgaria,2020,6612.77,BGR,CH2020,347.26999881090796,2445.530014269105,0.3452298662101406,7083.773026695542
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BG,Bulgaria,2021,7456.68,BGR,CH2021,377.4824887074569,2926.890135510517,0.3541385383387371,8264.816783964125
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BG,Bulgaria,2022,8569.19,BGR,CH2022,429.575072149086,3414.2891342109688,0.3717547033517456,9184.252689818555
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BG,Bulgaria,2023,9890.39,BGR,CH2023,472.1030042918455,4225.153948497854,0.39168986510066367,10786.988188759993
Annual net earnings,Annual,Euro,Single person without children earning 100% of the average earning,BG,Bulgaria,2024,11073.9,BGR,CH2024,550.0,4473.9,0.39173996557813734,11420.586085459348
