,STRUCTURE_NAME,Time frequency,Currency,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,Country Code,Стоимость,Город,2024,cost_of_housing_ppp,year_salary_minus_housing
0,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,AT,Austria,2024,58249.64,AUT,1200.0,Vienna,0.793561311610156,952.2735739321872,46822.357112813756
1,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,BE,Belgium,2024,45380.15,BEL,1100.0,Brussels,0.77578970669375,853.368677363125,35139.7258716425
2,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,BG,Bulgaria,2024,31435.99,BGR,550.0,Sofia,,,
3,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CH,Switzerland,2024,75910.42,CHE,2570.0,Zurich,1.10500213434747,2839.855485272998,41832.15417672402
4,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,6500.0,Monaco,,,
5,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,1450.0,Madrid,,,
6,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,1300.0,Andorra la Vella,,,
7,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,1100.0,Ljubljana,,,
8,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,780.0,Bratislava,,,
9,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,750.0,Belgrade,,,
10,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,710.0,Moscow,,,
11,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,650.0,Nicosia,,,
12,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,650.0,Athens,,,
13,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,650.0,Bucharest,,,
14,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,615.0,Kyiv,,,
15,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,600.0,Tallinn,,,
16,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,550.0,Chisinau,,,
17,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,500.0,Podgorica,,,
18,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,271.0,Sarajevo,,,
19,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CY,Cyprus,2024,39611.12,,250.0,Skopje,,,
20,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,CZ,Czechia,2024,31669.12,CZE,922.0,Prague,0.558159711703434,514.6232541905662,25493.640949713204
21,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,DE,Germany,2024,57002.5,DEU,1220.0,Berlin,0.771785981339844,941.5788972346097,45703.553233184684
22,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,DK,Denmark,2024,45889.05,DNK,1730.0,Copenhagen,0.903633300822227,1563.2856104224527,27129.62267493057
23,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,6500.0,Monaco,,,
24,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,1450.0,Madrid,,,
25,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,1300.0,Andorra la Vella,,,
26,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,1100.0,Ljubljana,,,
27,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,780.0,Bratislava,,,
28,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,750.0,Belgrade,,,
29,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,710.0,Moscow,,,
30,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,650.0,Nicosia,,,
31,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,650.0,Athens,,,
32,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,650.0,Bucharest,,,
33,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,615.0,Kyiv,,,
34,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,600.0,Tallinn,,,
35,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,550.0,Chisinau,,,
36,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,500.0,Podgorica,,,
37,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,271.0,Sarajevo,,,
38,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EA20,Euro area – 20 countries (from 2023),2024,46530.28,,250.0,Skopje,,,
39,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,6500.0,Monaco,,,
40,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,1450.0,Madrid,,,
41,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,1300.0,Andorra la Vella,,,
42,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,1100.0,Ljubljana,,,
43,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,780.0,Bratislava,,,
44,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,750.0,Belgrade,,,
45,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,710.0,Moscow,,,
46,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,650.0,Nicosia,,,
47,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,650.0,Athens,,,
48,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,650.0,Bucharest,,,
49,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,615.0,Kyiv,,,
50,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,600.0,Tallinn,,,
51,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,550.0,Chisinau,,,
52,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,500.0,Podgorica,,,
53,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,271.0,Sarajevo,,,
54,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EE,Estonia,2024,31170.34,,250.0,Skopje,,,
55,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,EL,Greece,2024,33112.83,GRC,,,0.56159960049375,,
56,Annual net earnings,Annual,Purchasing Power Standard,Single person without children earning 167% of the average earning,ES,Spain,2024,41652.02,,6500.0,Monaco,,,
