STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,building,Type of building,currency,Currency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2016,,330,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2017,,350,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2018,,370,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2019,,390,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2020,,400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2021,,380,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2022,,430,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2023,,490,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2024,,550,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AL_CAP,Tiranë (Tirana),2025,,610,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2016,,900,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2017,,980,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2018,,970,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2019,,960,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2020,,1000,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2021,,1050,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2022,,1050,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2023,,1150,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2024,,1200,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,AT_CAP,Wien,2025,,1250,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2016,,420,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2017,,360,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2018,,390,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2019,,400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2020,,400,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2021,,430,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2022,,560,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2023,,610,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2024,,690,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BA_CAP,Sarajevo,2025,,770,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2016,,820,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2017,,770,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2018,,800,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2019,,850,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2020,,870,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2021,,880,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2022,,970,,,,,
dataflow,ESTAT:PRC_COLC_RENTS(1.0),Average rent per month in cities by type of dwelling,A,Annual,FLAT1,1-bedroom flats,EUR,Euro,BE_CAP,Bruxelles/Brussel,2023,,980,,,,,
