Country Code,CH2018,CH2019,CH2020,CH2021,CH2022,CH2023,CH2024
AUT,875.0546071105599,927.5578835371934,998.0522826860201,1111.8302429122266,1240.802551090045,1204.8192771084337,1200.0
BEL,855.7706947101107,887.4342104143849,925.5938814622033,987.6086715201707,1041.92714845378,1065.891472868217,1100.0
BGR,313.20574228048264,331.99808681731156,347.26999881090796,377.4824887074569,429.575072149086,472.1030042918455,550.0
CHE,2068.4357606160047,2144.9678837587967,2198.5920808527667,2323.9118294613745,2472.6421865469024,2527.0403146509343,2570.0
CZE,539.2964009789064,588.9116698689658,638.380250137959,764.1411594151369,893.281015356295,878.0952380952381,922.0
DEU,1001.2536665330593,1059.3263791919767,1141.9538367689509,1274.4204818341493,1352.1601312260323,1238.5786802030457,1220.0
DNK,1396.2845354238348,1427.0027952031587,1488.3639153968948,1659.5257656675376,1737.5234766539118,1671.497584541063,1730.0
FIN,998.538722563115,1002.5328774533674,1020.5784692475282,1067.5250788329145,1078.2003296212438,1011.3519091847265,980.0
FRA,1460.3610157775015,1508.5529292981594,1586.9976816216638,1686.9785355638282,1793.2581833043494,1786.0851505711319,1720.0
HRV,319.0743436040233,347.79103452838535,374.5709441870711,401.9146231127273,461.39798733341104,516.3043478260869,570.0
HUN,328.7262399168417,384.6097007027047,403.45557603713723,470.0257460832649,574.8414874598329,615.655233069481,700.0
IRL,1430.5560612118352,1463.4588506197074,1467.849227171566,1589.6807130268057,1785.211440729103,1840.552995391705,1997.0
ISL,1225.827265573769,1279.763665259015,1361.668539835592,1531.8771073150406,1853.5712998511992,1998.149861239593,2160.0
ITA,1324.7722588357933,1323.4474865769578,1348.5929888219198,1382.3078135424676,1434.8355104570812,1453.4883720930231,1500.0
LTU,340.84288540132417,364.02020160861434,390.5936763260432,453.47925821453606,539.6403172752979,592.5250683682772,650.0
LUX,1216.703170597042,1339.5901908273431,1533.8307684973079,1747.0332453184335,1914.7484368690034,1740.506329113924,1650.0
LVA,545.9993865601364,595.1393313505488,615.969207947818,683.1098516141299,777.3790111368797,806.1420345489443,840.0
NLD,1125.937405573976,1207.0048987753025,1303.5652906773269,1492.5822578255395,1691.095698116336,1658.9648798521255,1795.0
NOR,1068.7098523193517,1111.4582464121258,1165.91970048632,1273.1843129310616,1348.302187393994,1365.8301158301158,1415.0
POL,479.62263686074436,521.349806267629,576.09153592573,629.0919572308973,703.3248081841432,765.2173913043479,880.0
PRT,861.9100698143859,948.1010767958244,1031.5339715538569,1128.4981648799196,1270.6889336547893,1374.885426214482,1500.0
SWE,1099.717169859384,1127.210099105869,1174.5529232683152,1293.182768518415,1339.737348185078,1268.731268731269,1270.0
GBR,,,,,,,
