STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2011,,5.4,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2012,,6.6,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2013,,5.0,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2014,,3.8,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2015,,5.6,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2016,,6.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2017,,5.1,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2018,,6.0,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2019,,6.0,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2020,,7.6,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2021,,11.4,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2022,,11.6,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2023,,-2.9,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,AT,Austria,2024,,-0.4,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,BE,Belgium,2010,,2.3,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,BE,Belgium,2011,,3.6,,,,,
