 STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),ppp_cat,Analytical categories for purchasing power parities (PPPs) calculation,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,1997,,1957,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,1998,,2217,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,1999,,2670,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2000,,3257,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2001,,3591,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2002,,3860,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2003,,4149,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2004,,4715,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2005,,5287,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2006,,5843,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2007,,6868,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2008,,7889,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2009,,7589,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2010,,7453,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2011,,7684,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2012,,7920,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2013,,7997,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2014,,8443,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2015,,8600,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2016,,9036,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2017,,9536,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2018,,10440,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2019,,11337,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2020,,10803,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2021,,11855,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2022,,13902,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2023,,16477,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2024,,18880,,e,estimated,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,1995,,121058,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,1996,,123808,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,1997,,123602,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,1998,,127676,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,1999,,132213,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2000,,138485,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2001,,143668,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2002,,146476,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2003,,151928,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2004,,157334,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2005,,164260,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2006,,171593,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2007,,178453,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2008,,184897,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2009,,187982,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2010,,193330,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2011,,200929,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2012,,206987,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2013,,210907,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2014,,215378,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2015,,221396,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2016,,228823,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2017,,236998,,,,,
dataflow,ESTAT:PRC_PPP_IND(1.0),"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AT,Austria,2018,,244554,,,,,
